TRAINING_DATA_TYPE,QUESTIONS,CONTENT,ALTERNATE QUESTIONS
ddl,,"CREATE TABLE LOCATION_MASTER (
    LOCATION VARCHAR(255),
    DESCRIPTION VARCHAR(255),
    LEVEL INT,
    LOCATION_TYPE VARCHAR(100),
    ALL_LOCATION VARCHAR(255),
    HIERARCHY_LEVEL VARCHAR(100),
    LOCATION_LEVEL INT,
    TYPE INT,
    STATE_CODE INT,
    STATE VARCHAR(100)
);",
ddl,,"CREATE TABLE PI_CUSTOMER_MASTER (
    CUSTOMER VARCHAR(255),
    CUSTOMER_NAME VARCHAR(255),
    PLANNING_ITEM VARCHAR(255),
    SCM_STRATEGY VARCHAR(100),
    SALES_OFFICE VARCHAR(100),
    STATUS VARCHAR(50)
);",
ddl,,"CREATE TABLE PRODUCT_MASTER (
    PRODUCT VARCHAR(255),
    DESCRIPTION VARCHAR(255),
    PLANNING_ITEM VARCHAR(255),
    STATUS VARCHAR(50),
    [DELETE] VARCHAR(10),  -- 'DELETE' is a reserved keyword, so it's enclosed in square brackets
    FORECAST_ITEM VARCHAR(255),
    PRODUCT_FORM VARCHAR(100),
    PRODUCT_VARIANT VARCHAR(100),
    PRODUCT_GROUP VARCHAR(100),
    PRODUCT_FAMILY VARCHAR(100),
    TYPE VARCHAR(100),
    BRAND VARCHAR(100),
    SUB_BRAND VARCHAR(100),
    COLOR VARCHAR(50),
    COATING VARCHAR(100),
    SURFACE VARCHAR(100),
    THICKNESS_MINIMUM VARCHAR(50),
    THICKNESS_MAXIMUM VARCHAR(50),
    WIDTH_MINIMUM VARCHAR(50),
    WIDTH_MAXIMUM FLOAT,
    DIAMETER FLOAT,
    DIAMETER_MINIMUM FLOAT,
    DIAMETER_MAXIMUM FLOAT,
    ROLLING_TYPE VARCHAR(100),
    OUTER_PANNEL VARCHAR(100),
    VASP VARCHAR(50),
    NCO VARCHAR(50),
    CPOH VARCHAR(50),
    MARGIN VARCHAR(50),
    LEVEL INT,
    HIERARCHY_LEVEL VARCHAR(100),
    ROUTE VARCHAR(100),
    SUBROUTE VARCHAR(100),
    PRODUCT_DIVISION_CODE INT,
    SUB_ROUTE VARCHAR(100),
    GRADE_GROUP VARCHAR(100)
);",
ddl,,"CREATE TABLE REPLENISHMENT_SKU (
    SKU NVARCHAR(255),
    LOCATION NVARCHAR(255),
    DRP VARCHAR(100),
    SCM_STRATEGY VARCHAR(100),
    STATUS VARCHAR(50)
);",
ddl,,"CREATE TABLE SALES_HISTORY (
    PRODUCT VARCHAR(255),
    CUSTOMER VARCHAR(255),
    LOCATION VARCHAR(255),
    SALES_DATE DATE,
    DURATION VARCHAR(50),
    TYPE VARCHAR(100),
    EVENT VARCHAR(255),
    QUANTITY NUMERIC(18,2),
    HISTORY_STREAM VARCHAR(100)
);",
ddl,,"CREATE TABLE SCHEDULES (
    SKU VARCHAR(255),
    PLANNING_ITEM VARCHAR(255),
    CUSTOMER VARCHAR(255),
    LOCATION VARCHAR(255),
    QUANTITY INTEGER,
    SCHEDULE_DATE DATE
);",
ddl,,"CREATE TABLE STG_CUSTOMER_MASTER (
    PRODUCT_DIVISION VARCHAR(255),
    PRODUCT_DIVISION_CODE VARCHAR(255),
    CUSTOMER_CODE VARCHAR(255),
    CUSTOMER_NAME VARCHAR(255),
    CUSTOMER_GROUP VARCHAR(255),
    CUSTOMER_GROUP_DESCRIPTION VARCHAR(255),
    CAM_TM VARCHAR(255),
    BM_ASM VARCHAR(255),
    RSM_ZSM_ASH VARCHAR(255),
    REGIONAL_MANAGER VARCHAR(255),
    SEGMENT_HEAD VARCHAR(255),
    PRODUCT_MANAGER VARCHAR(255),
    PRODUCT_HEAD VARCHAR(255),
    BRANCH VARCHAR(255),
    REGION VARCHAR(255),
    SUB_SECTOR VARCHAR(255),
    MARKET VARCHAR(255),
    UDC_CUSTOMER_TYPE VARCHAR(255),
    UDC_PLANT_SPECIFIC VARCHAR(255),
    UDC_NEW DATE,
    UDC_NKG VARCHAR(255),
    UDC_JSWONE VARCHAR(255),
    IS_PROJECT VARCHAR(255),
    UDC_AIKYAM VARCHAR(255),
    UDC_EXCLUSIVE_STORE VARCHAR(255),
    SECTOR VARCHAR(255),
    UDC_SEGMENT VARCHAR(255),
    UDC_CAM_TM_EMPLOYEE_CODE INTEGER,
    UDC_BM_ASM_EMPLOYEE_CODE INTEGER,
    UDC_RSM_ZSM_EMPLOYEE_CODE INTEGER,
    UDC_RM_EMPLOYEE_CODE INTEGER,
    UDC_SH_EMPLOYEE_CODE INTEGER,
    UDC_PM_EMPLOYEE_CODE INTEGER,
    UDC_PH_EMPLOYEE_CODE INTEGER,
    UDC_COMPANY_CODE INTEGER,
    UDC_ID VARCHAR(255),
    UDC_MONTHLY_PRICING VARCHAR(255),
    UDC_ACTIVE_CUST INTEGER,
    UDC_CUST_TYPE_UPDATE_DATE DATE,
    MULTI_SEGMENT INTEGER,
    NEW_SEGMENT INTEGER,
    UDC_OLD_SALES_OFFICE VARCHAR(255)
);",
documentation,,"PRODUCT_MASTER table in table catalog DEMAND_PLANNING 1 in the table_schema dbo has a column named PRODUCT which is a primary key 
CUSTOMER_MASTER table in table catalog DEMAND_PLANNING 1 in the table_schema dbo has a column named CUSTOMER which is a primary key 
LOCATION_MASTER table in table catalog DEMAND_PLANNING 1 in the table_schema dbo has a column named LOCATION which is a primary key 
Columns PRODUCT_DIVISION_CODE, CUSTOMER_CODE of STG_CUSTOMER_MASTER table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table.",
documentation,,"Columns CUSTOMER, PLANNING_ITEM of PI_CUSTOMER_MASTER table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PLANNING_ITEM column in the PI_CUSTOMER_MASTER table is a foreign key that references the PLANNING_ITEM column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the PI_CUSTOMER_MASTER table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER_NAME column in the PI_CUSTOMER_MASTER table is a foreign key that references the CUSTOMER_GROUP column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, SALES_OFFICE column in the PI_CUSTOMER_MASTER table is a foreign key that references the SALES_OFFICE column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns SKU and LOCATION of REPENISHMENT_SKU table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The SKU column in the REPENISHMENT_SKU table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the REPENISHMENT_SKU table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns SKU, PLANNING_ITEM, CUSTOMER, LOCATION, SCHEDULE_DATE of SCHEDULES table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The SKU column in the SCHEDULES table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, PLANNING_ITEM column in the SCHEDULES table is a foreign key that references the PLANNING_ITEM column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the SCHEDULES table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns CAUSALFACTOR, PRODUCT, CUSTOMER, LOCATION of CAUSALS table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the CAUSALS table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the CAUSALS table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the CAUSALS table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.
Columns CAUSALFACTOR, PRODUCT, CUSTOMER, LOCATION of CAUSALS table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the CAUSALS table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the CAUSALS table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the CAUSALS table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.
Columns CAUSALFACTOR, PRODUCT, CUSTOMER, LOCATION of CAUSALS table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the CAUSALS table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the CAUSALS table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the CAUSALS table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.
",
documentation,,"Columns CAUSALFACTOR, CAUSAL_STARTDATE of CAUSAL_FACTOR_VALUE table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The CAUSALFACTOR column in the CAUSAL_FACTOR_VALUE table is a foreign key that references the column CAUSALFACTOR in the table CAUSALS in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns PRODUCT, CUSTOMER, LOCATION, SALES_DATE, TYPE, EVENT, HISTORY_STREAM of SALES_HISTORY table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the SALES_HISTORY table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the SALES_HISTORY table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the SALES_HISTORY table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns PRODUCT, CUSTOMER, LOCATION, FORECAST_DATE, TYPE, and FORECAST_ID of FORECAST table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the FORECAST table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the FORECAST table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the FORECAST table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo.",
documentation,,"Columns PRODUCT, CUSTOMER, LOCATION, FORECASTDATE, START_DATE, DURATION and MODEL of FCSTPERFSTATIC table in table catalog DEMAND_PLANNING 1 in the table_schema dbo, when combined, form a single concatenated primary key. However, this concatenated primary key is not explicitly defined as a single column in the table. The PRODUCT column in the FCSTPERFSTATIC table is a foreign key that references the PRODUCT column in the table PRODUCT_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, CUSTOMER column in the FCSTPERFSTATIC table is a foreign key that references the CUSTOMER column in the table CUSTOMER_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo, LOCATION column in the FCSTPERFSTATIC table is a foreign key that references the LOCATION column in the table LOCATION_MASTER in table catalog DEMAND_PLANNING 1 in the TABLE_SCHEMA dbo",
